game,clip,frame_path,label_path,frame_name,visibility,x,y,status,split
game1,Clip8,../Dataset/game1/Clip8/0000.jpg,../Dataset/game1/Clip8/Label.csv,0000.jpg,1,603.0,127.0,0,train
game1,Clip8,../Dataset/game1/Clip8/0001.jpg,../Dataset/game1/Clip8/Label.csv,0001.jpg,1,602.0,121.0,0,train
game1,Clip8,../Dataset/game1/Clip8/0002.jpg,../Dataset/game1/Clip8/Label.csv,0002.jpg,1,602.0,115.0,0,train
game1,Clip8,../Dataset/game1/Clip8/0003.jpg,../Dataset/game1/Clip8/Label.csv,0003.jpg,1,601.0,104.0,0,train
game1,Clip8,../Dataset/game1/Clip8/0004.jpg,../Dataset/game1/Clip8/Label.csv,0004.jpg,2,602.0,95.0,0,train
game1,Clip8,../Dataset/game1/Clip8/0005.jpg,../Dataset/game1/Clip8/Label.csv,0005.jpg,2,603.0,85.0,0,train
game1,Clip8,../Dataset/game1/Clip8/0006.jpg,../Dataset/game1/Clip8/Label.csv,0006.jpg,1,603.0,78.0,0,train
game1,Clip8,../Dataset/game1/Clip8/0007.jpg,../Dataset/game1/Clip8/Label.csv,0007.jpg,1,606.0,71.0,0,train
game1,Clip8,../Dataset/game1/Clip8/0008.jpg,../Dataset/game1/Clip8/Label.csv,0008.jpg,1,604.0,63.0,0,train
game1,Clip8,../Dataset/game1/Clip8/0009.jpg,../Dataset/game1/Clip8/Label.csv,0009.jpg,1,606.0,58.0,0,train
game1,Clip8,../Dataset/game1/Clip8/0010.jpg,../Dataset/game1/Clip8/Label.csv,0010.jpg,1,606.0,52.0,0,train
game1,Clip8,../Dataset/game1/Clip8/0011.jpg,../Dataset/game1/Clip8/Label.csv,0011.jpg,1,605.0,48.0,0,train
game1,Clip8,../Dataset/game1/Clip8/0012.jpg,../Dataset/game1/Clip8/Label.csv,0012.jpg,1,606.0,44.0,0,train
game1,Clip8,../Dataset/game1/Clip8/0013.jpg,../Dataset/game1/Clip8/Label.csv,0013.jpg,1,607.0,40.0,0,train
game1,Clip8,../Dataset/game1/Clip8/0014.jpg,../Dataset/game1/Clip8/Label.csv,0014.jpg,1,607.0,37.0,0,train
game1,Clip8,../Dataset/game1/Clip8/0015.jpg,../Dataset/game1/Clip8/Label.csv,0015.jpg,2,608.0,34.0,0,train
game1,Clip8,../Dataset/game1/Clip8/0016.jpg,../Dataset/game1/Clip8/Label.csv,0016.jpg,2,608.0,34.0,0,train
game1,Clip8,../Dataset/game1/Clip8/0017.jpg,../Dataset/game1/Clip8/Label.csv,0017.jpg,2,607.0,34.0,0,train
game1,Clip8,../Dataset/game1/Clip8/0018.jpg,../Dataset/game1/Clip8/Label.csv,0018.jpg,2,608.0,33.0,0,train
game1,Clip8,../Dataset/game1/Clip8/0019.jpg,../Dataset/game1/Clip8/Label.csv,0019.jpg,2,609.0,34.0,0,train
game1,Clip8,../Dataset/game1/Clip8/0020.jpg,../Dataset/game1/Clip8/Label.csv,0020.jpg,1,609.0,34.0,0,train
game1,Clip8,../Dataset/game1/Clip8/0021.jpg,../Dataset/game1/Clip8/Label.csv,0021.jpg,1,610.0,37.0,0,train
game1,Clip8,../Dataset/game1/Clip8/0022.jpg,../Dataset/game1/Clip8/Label.csv,0022.jpg,1,610.0,39.0,0,train
game1,Clip8,../Dataset/game1/Clip8/0023.jpg,../Dataset/game1/Clip8/Label.csv,0023.jpg,1,614.0,43.0,0,train
game1,Clip8,../Dataset/game1/Clip8/0024.jpg,../Dataset/game1/Clip8/Label.csv,0024.jpg,1,614.0,47.0,0,train
game1,Clip8,../Dataset/game1/Clip8/0025.jpg,../Dataset/game1/Clip8/Label.csv,0025.jpg,1,614.0,51.0,0,train
game1,Clip8,../Dataset/game1/Clip8/0026.jpg,../Dataset/game1/Clip8/Label.csv,0026.jpg,1,615.0,57.0,0,train
game1,Clip8,../Dataset/game1/Clip8/0027.jpg,../Dataset/game1/Clip8/Label.csv,0027.jpg,1,626.0,69.0,1,train
game1,Clip8,../Dataset/game1/Clip8/0028.jpg,../Dataset/game1/Clip8/Label.csv,0028.jpg,2,642.0,90.0,0,train
game1,Clip8,../Dataset/game1/Clip8/0029.jpg,../Dataset/game1/Clip8/Label.csv,0029.jpg,1,666.0,113.0,0,train
game1,Clip8,../Dataset/game1/Clip8/0030.jpg,../Dataset/game1/Clip8/Label.csv,0030.jpg,1,689.0,140.0,0,train
game1,Clip8,../Dataset/game1/Clip8/0031.jpg,../Dataset/game1/Clip8/Label.csv,0031.jpg,2,714.0,167.0,0,train
